subject,course_number,title,crn,capacity,remaining_seats,enrolled
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
ASP,085,Boosting Academic Strategies for Success,46905,20,2,18.0
ASP,085,Boosting Academic Strategies for Success,46906,20,0,
ASP,096,Independent Study,10138,7,7,0.0
ASP,096,Independent Study,20012,100,14,86.0
ASP,096,Independent Study,34514,10,6,4.0
ASP,096,Independent Study,44755,50,17,33.0
ASP,021,Workshop for Students Enrolled in MATH 121,33063,20,17,3.0
ASP,080,Workshop for Students Enrolled in MATH 180,33064,20,16,4.0
ASP,081,Workshop for Students Enrolled in MATH 181,46682,20,15,5.0
